		Результаты табулирования функции:

Значение аргумента x		Значение функции y
	-9				9
	-8.51				8.51
	-8.03				8.03
	-7.54				7.54
	-7.05				7.05
	-6.56				6.56
	-6.08				6.08
	-5.59				5.59
	-5.1				5.1
	-4.62				4.62
	-4.13				4.13
	-3.64				3.64
	-3.15				3.15
	-2.67				2.67
	-2.18				2.18
	-1.69				1.69
	-1.21				1.21
	-0.718				0.718
	-0.231				0.231
	0.256				0.256
	0.744				0.744
	1.23				1.23
	1.72				1.72
	2.21				2.21
	2.69				2.69
	3.18				3.18
	3.67				3.67
	4.15				4.15
	4.64				4.64
	5.13				5.13
	5.62				5.62
	6.1				6.1
	6.59				6.59
	7.08				7.08
	7.56				7.56
	8.05				8.05
	8.54				8.54
	9.03				9.03
	9.51				9.51
	10				10
